FCFS 
Tempo Processos_Fila_Pronto Processos_Fila_Bloqueado Processos_Finalizados 
137000 9 0 84 
137200 9 0 84 
137400 9 0 84 
137600 8 1 84 
137800 9 0 84 
138000 9 0 84 
138200 9 0 84 
138400 9 0 84 
138600 9 0 84 
138800 9 0 84 
139000 9 0 84 
139200 9 0 84 
139400 9 0 84 
139600 9 0 84 
139800 9 0 84 
140000 9 0 85 
140200 9 0 85 
140400 9 0 85 
140600 9 0 85 
140800 9 0 87 
141000 9 0 87 
141200 9 1 87 
141400 9 0 87 
141600 9 0 87 
141800 9 0 87 
142000 9 0 87 
142200 9 0 87 
142400 9 0 87 
142600 9 0 88 
142800 9 0 88 
143000 9 0 88 
143200 8 1 88 
143400 9 0 89 
143600 9 0 89 
143800 8 1 89 
144000 9 0 89 
144200 9 0 89 
144400 9 0 89 
144600 9 0 89 
144800 9 0 89 
145000 9 0 89 
145200 9 0 89 
145400 9 0 89 
145600 9 0 91 
145800 9 0 91 
146000 9 0 91 
146200 9 0 91 
146400 9 0 91 
146600 9 0 91 
146800 9 0 92 
147000 9 0 92 
147200 9 0 92 
147400 9 0 92 
147600 9 0 92 
147800 9 0 92 
148000 9 0 93 
148200 9 0 93 
148400 9 0 93 
148600 9 0 93 
148800 9 0 93 
149000 9 0 95 
149200 9 0 95 
149400 9 0 95 
149600 9 0 95 
149800 9 0 95 
150000 9 0 95 
150200 9 0 95 
150400 9 0 95 
150600 8 1 95 
150800 9 0 95 
151000 8 1 95 
151200 9 0 95 
151400 9 0 95 
151600 9 0 96 
151800 9 0 96 
152000 9 0 96 
152200 9 0 96 
152400 9 0 96 
152600 9 0 96 
152800 9 0 96 
153000 9 0 97 
153200 9 0 97 
153400 8 1 97 
153600 9 0 97 
153800 9 0 97 
154000 9 0 97 
154200 9 0 97 
154400 9 0 98 
154600 9 0 98 
154800 9 0 98 
155000 9 0 98 
155200 9 0 98 
155400 9 0 98 
155600 9 0 98 
155800 9 0 99 
156000 9 0 100 
156200 9 0 100 
156400 9 0 100 
156600 8 1 100 
156800 9 0 100 
157000 9 0 100 
157200 9 0 100 
157400 9 0 101 
157600 9 0 101 
157800 9 0 102 
158000 9 0 102 
158200 9 0 102 
158400 8 1 102 
158600 9 1 102 
158800 9 0 102 
159000 8 1 102 
159200 9 0 102 
159400 9 0 102 
159600 8 1 103 
159800 9 0 103 
160000 9 0 103 
160200 9 0 103 
160400 9 0 103 
160600 9 0 103 
160800 9 0 103 
161000 9 0 103 
161200 9 0 103 
161400 9 0 104 
161600 9 0 104 
161800 9 0 104 
162000 9 0 104 
162200 9 0 104 
162400 9 0 104 
162600 9 0 104 
162800 9 1 104 
163000 9 0 104 
163200 9 0 104 
163400 9 0 104 
163600 8 1 105 
163800 9 0 105 
164000 9 0 105 
164200 9 0 105 
164400 9 0 105 
164600 9 0 105 
164800 9 0 105 
165000 9 0 105 
165200 9 0 105 
165400 9 0 105 
165600 9 0 105 
165800 9 0 105 
166000 9 0 105 
166200 9 1 105 
166400 9 0 105 
166600 9 0 105 
166800 9 0 105 
167000 9 0 105 
167200 9 0 106 
167400 9 0 106 
167600 9 0 106 
167800 9 0 106 
168000 9 0 106 
168200 8 1 106 
168400 9 0 106 
168600 9 0 106 
168800 9 0 106 
169000 9 0 106 
169200 9 0 106 
169400 9 0 106 
169600 9 0 106 
169800 9 0 106 
170000 9 0 106 
170200 9 0 106 
170400 9 0 106 
170600 9 0 106 
170800 9 0 106 
171000 9 0 106 
171200 9 0 107 
171400 9 0 108 
171600 9 0 109 
171800 9 0 109 
172000 9 0 109 
172200 9 0 109 
172400 9 0 109 
172600 9 0 109 
172800 9 0 109 
173000 9 0 110 
173200 8 1 110 
173400 9 0 110 
173600 9 0 110 
173800 9 0 110 
174000 9 0 110 
174200 8 1 111 
174400 9 0 112 
174600 9 0 112 
174800 9 0 112 
175000 9 0 112 
175200 9 0 112 
175400 9 0 112 
175600 9 0 112 
175800 9 0 114 
176000 9 0 114 
176200 9 0 114 
176400 9 0 114 
176600 9 0 114 
176800 9 0 114 
177000 9 0 114 
177200 9 0 114 
177400 9 0 116 
177600 9 0 116 
177800 9 0 116 
178000 9 0 116 
178200 9 0 116 
178400 9 0 116 
178600 9 0 116 
178800 9 0 116 
179000 9 0 117 
179200 9 0 117 
179400 9 0 117 
179600 9 0 117 
179800 9 0 117 
180000 9 0 117 
180200 9 0 117 
180400 9 0 117 
180600 9 0 117 
180800 9 0 118 
181000 9 0 118 
181200 9 0 118 
181400 9 0 118 
181600 9 0 118 
181800 9 0 118 
182000 9 0 118 
182200 8 1 118 
182400 9 0 118 
182600 9 0 118 
182800 9 0 118 
183000 8 1 119 
183200 9 0 119 
183400 9 0 119 
183600 9 0 119 
183800 9 0 119 
184000 9 0 120 
184200 9 0 120 
184400 9 1 120 
184600 9 0 121 
184800 9 0 122 
185000 9 0 122 
185200 9 0 122 
185400 9 0 122 
185600 9 0 122 
185800 9 0 123 
186000 9 0 123 
186200 9 0 123 
186400 9 0 123 
186600 8 1 123 
186800 9 0 123 
