RR 
ID Tempo_de_Chegada Tempo_de_finalizacao Tempo_de_Processamento Tempo_de_Espera Tempo_de_Turnaround 
399 18886 623215 35 342 377 
391 18401 623650 1861 15515 17378 
382 17941 624374 3310 27610 30945 
393 18497 628254 1535 12852 14391 
395 18657 628916 792 7023 7819 
396 18679 630563 962 8008 8970 
394 18566 634041 1773 14853 16626 
398 18802 634127 1207 10201 11417 
402 19032 635403 1196 9833 11029 
392 18408 641674 3637 30151 33789 
408 19351 642839 821 6615 7436 
397 18710 649095 2851 24142 27004 
403 19092 650060 2325 19476 21806 
412 19585 653712 385 3267 3652 
401 18950 653950 3281 27019 30300 
405 19185 655411 2621 22217 24848 
400 18893 657057 3642 30200 33842 
407 19316 658399 2576 21696 24272 
406 19225 660640 2836 23761 26599 
411 19534 661117 1308 10714 12022 
410 19455 661754 2008 16898 18915 
419 19904 662520 140 1263 1403 
418 19873 663853 318 2895 3213 
404 19094 664712 3853 31925 35796 
421 19991 667928 580 4828 5408 
424 20135 669873 215 1730 1945 
415 19742 671495 1721 14359 16084 
420 19932 674427 1380 11293 12673 
425 20214 676239 662 5704 6366 
409 19412 676266 3737 30830 34592 
427 20285 677080 288 2365 2653 
426 20218 677897 677 5725 6402 
413 19665 677957 2581 21657 24245 
422 20053 679708 1667 14188 15855 
423 20085 680375 1688 13948 15663 
431 20470 681929 434 3598 4032 
416 19785 684445 2919 24469 27388 
417 19857 685157 2869 23880 26758 
434 20634 686417 633 5409 6042 
414 19699 692361 4150 34249 38411 
430 20426 697224 2111 18033 20144 
435 20640 697483 1674 13880 15554 
428 20327 699922 2578 21099 23683 
432 20510 701923 2590 21364 23966 
429 20372 702858 2857 23735 26592 
433 20575 704737 2702 22327 25029 
445 21194 707411 283 2391 2674 
443 21086 712815 1173 9714 10892 
437 20724 712827 2943 24714 27670 
436 20719 712955 3059 25439 28510 
441 20968 713584 1711 14390 16101 
438 20797 713704 2908 24363 27287 
442 21005 718205 1931 16352 18283 
444 21123 720362 1887 15617 17504 
440 20882 720384 2452 20708 23160 
454 21730 720741 28 329 357 
439 20800 720957 3058 25523 28596 
456 21817 726753 628 5168 5796 
446 21257 733492 2794 23287 26081 
447 21322 734369 2339 19214 21554 
451 21602 734853 2266 18883 21149 
457 21868 734973 868 7344 8220 
452 21648 738293 2164 17923 20088 
449 21447 739092 2799 23316 26137 
448 21363 741212 3063 25309 28385 
453 21655 743497 2475 20634 23135 
463 22170 744192 534 4564 5100 
465 22250 744628 118 1013 1131 
450 21527 745575 3439 28543 31991 
455 21792 747927 2937 24237 27186 
461 22055 752707 1871 15862 17734 
467 22288 753939 1017 8294 9311 
458 21879 754738 2284 18962 21246 
462 22080 754894 1787 14814 16601 
460 21974 756966 2352 19741 22113 
470 22407 761790 972 8111 9083 
471 22479 762154 875 7334 8215 
459 21943 762432 3038 25025 28063 
473 22533 767278 1333 11051 12384 
464 22175 767485 2817 23450 26273 
472 22514 769782 1627 13414 15044 
468 22341 770572 2660 22309 24997 
480 22905 771710 213 1715 1928 
469 22402 773217 2702 22588 25290 
474 22566 773649 1792 14883 16683 
478 22837 775376 863 7234 8098 
476 22683 777797 1692 13951 15643 
466 22282 777916 3669 30038 33724 
477 22739 778967 1783 14746 16535 
482 23045 780671 962 7999 8961 
486 23179 784564 732 6035 6767 
487 23230 787931 1076 8939 10015 
481 22991 788179 1891 15706 17607 
484 23122 789142 1665 13823 15493 
483 23094 791371 1940 16214 18154 
490 23392 792203 825 6814 7639 
488 23283 792525 1430 12128 13558 
475 22605 792760 3307 27657 30970 
489 23364 797026 1751 14597 16355 
479 22849 799859 3476 28883 32374 
485 23131 804390 3119 25874 29014 
495 23585 807752 1665 13879 15549 
492 23479 807958 2142 17634 19779 
497 23675 811356 2016 16571 18596 
499 23804 813557 1467 12219 13698 
496 23652 814450 2332 19593 21925 
503 23949 815963 485 4122 4607 
491 23450 817137 3164 26040 29206 
507 24213 817651 43 471 514 
502 23945 817745 1046 8735 9787 
501 23881 818004 1084 9168 10252 
494 23569 818099 2868 23860 26728 
493 23539 818659 3161 26355 29517 
506 24128 819511 382 3166 3548 
512 24412 820220 159 1402 1561 
498 23731 824173 2879 24256 27147 
504 23993 827833 1552 12724 14276 
505 24040 828764 1511 12787 14314 
510 24327 830892 1375 11505 12888 
500 23850 835530 3342 27774 31140 
514 24513 836221 1739 14258 16001 
515 24582 843554 2073 17303 19381 
519 24821 843972 918 7523 8442 
508 24253 844267 2876 23740 26616 
509 24280 846228 3061 25422 28483 
513 24436 846695 2944 24233 27184 
511 24370 848397 3275 27010 30298 
516 24667 848808 2250 18716 20975 
521 24999 849137 599 4984 5583 
517 24713 852977 2609 21577 24213 
524 25158 855272 970 8073 9044 
520 24918 858413 2425 19747 22192 
528 25313 859390 1098 9153 10253 
518 24740 859469 3129 25445 28577 
525 25165 866052 2051 17306 19357 
522 25010 866549 2438 20132 22577 
534 25651 870032 407 3573 3980 
531 25535 870299 1276 10603 11886 
535 25703 871272 478 4245 4723 
529 25382 871579 2004 16598 18602 
523 25092 873504 3157 26080 29237 
527 25251 874311 2705 22789 25503 
526 25241 875772 2917 24432 27375 
