RR 
Tempo Processos_Fila_Pronto Processos_Fila_Bloqueado Processos_Finalizados 
164000 9 0 104 
164200 9 0 104 
164400 9 0 104 
164600 9 0 104 
164800 9 0 104 
165000 9 0 104 
165200 9 0 105 
165400 9 0 105 
165600 9 0 105 
165800 9 1 105 
166000 9 0 105 
166200 9 0 105 
166400 9 0 105 
166600 9 0 105 
166800 9 0 105 
167000 9 0 105 
167200 9 0 105 
167400 10 0 105 
167600 9 0 105 
167800 9 0 105 
168000 9 0 106 
168200 9 0 106 
168400 9 0 106 
168600 9 0 106 
168800 9 0 106 
169000 9 1 106 
169200 9 0 106 
169400 9 0 106 
169600 8 1 106 
169800 9 0 106 
170000 9 0 106 
170200 9 0 106 
170400 9 0 106 
170600 9 1 106 
170800 9 0 106 
171000 9 0 107 
171200 9 0 107 
171400 9 0 108 
171600 9 0 108 
171800 9 0 108 
172000 9 0 108 
172200 9 0 108 
172400 10 0 108 
172600 8 1 108 
172800 9 0 108 
173000 9 0 108 
173200 9 0 108 
173400 9 0 108 
173600 9 0 108 
173800 9 0 108 
174000 9 0 111 
174200 9 0 112 
174400 9 0 112 
174600 9 0 112 
174800 9 0 112 
175000 9 0 112 
175200 8 1 113 
175400 9 0 114 
175600 9 0 114 
175800 10 0 114 
176000 10 0 114 
176200 7 2 114 
176400 9 0 114 
176600 10 0 114 
176800 8 1 114 
177000 10 0 114 
177200 9 0 114 
177400 9 0 114 
177600 9 0 114 
177800 9 0 114 
178000 9 0 114 
178200 9 0 114 
178400 9 0 114 
178600 9 0 114 
178800 8 1 114 
179000 9 0 115 
179200 9 0 115 
179400 9 0 115 
179600 9 0 116 
179800 9 0 116 
180000 9 0 116 
180200 9 0 117 
180400 9 0 117 
180600 9 0 117 
180800 9 0 118 
181000 9 0 118 
181200 9 0 118 
181400 9 0 118 
181600 9 0 118 
181800 9 0 118 
182000 9 0 118 
182200 9 0 118 
182400 9 0 118 
182600 9 0 118 
182800 9 0 118 
183000 10 0 118 
183200 9 0 118 
183400 9 0 118 
183600 9 0 118 
183800 9 0 118 
184000 9 0 119 
184200 9 0 120 
184400 9 0 120 
184600 9 0 122 
184800 9 0 122 
185000 9 0 123 
185200 9 0 123 
185400 9 0 123 
185600 9 0 123 
185800 9 0 123 
186000 9 0 123 
186200 8 1 123 
186400 9 0 123 
186600 9 0 123 
